"AntennaCode","AntennaDescription","api_id"
"",NULL,123
"--------------",NULL,136
"---------------",NULL,74
"3S-02-TSADM",NULL,118
"AERAT1675_120","",152
"AERAT2775_42",NULL,135
"AERAT2775_43",NULL,49
"AOAD/M_B",NULL,68
"AOAD/M_T",NULL,16
"AOAD_M/T",NULL,124
"AOAD/M_TA_NGS",NULL,97
"ARFAS13DFS",NULL,159
"ASH111661",NULL,60
"ASH700228A",NULL,6
"ASH700228B",NULL,51
"ASH700228C",NULL,91
"ASH700228D",NULL,39
"ASH700700.B",NULL,38
"ASH700700.C",NULL,55
"ASH700718A",NULL,45
"ASH700718B",NULL,35
"ASH700829.3",NULL,80
"ASH700936A_M",NULL,8
"ASH700936B_M",NULL,79
"ASH700936C_M",NULL,41
"ASH700936D_M",NULL,1
"ASH700936E",NULL,2
"ASH700936E_C",NULL,82
"ASH700936F_C",NULL,109
"ASH701008.01B",NULL,167
"ASH701073.1",NULL,115
"ASH701073.3",NULL,104
"ASH701933A_M",NULL,44
"ASH701933B_M",NULL,87
"ASH701933C_M",NULL,31
"ASH701941.1",NULL,125
"ASH701941.B",NULL,83
"ASH701945.02B",NULL,15
"ASH701945B.99",NULL,168
"ASH701945B_M",NULL,4
"ASH701945C_M",NULL,5
"ASH701945D_M",NULL,11
"ASH701945E_M",NULL,10
"ASH701945G_M",NULL,78
"ASH701946.2",NULL,146
"ASH701946.3",NULL,105
"ASH701975.01A",NULL,62
"CHAPS9017",NULL,160
"CHCC220GR",NULL,161
"CHCC220GR2","CHC antenna",166
"JAV_GRANT-G3T",NULL,156
"JAVRINGANT_DM",NULL,89
"JAV_RINGANT_G3T",NULL,110
"JAV_RINGANT_G5T",NULL,141
"JAVRINGANT_G5T",NULL,112
"JNSCR_C146-22-1",NULL,76
"JNSMARANT_GGD",NULL,36
"JPLD/M_R",NULL,93
"JPLD/M_RA_SOP",NULL,117
"JPSLEGANT_E",NULL,26
"JPSREGANT_DD_E",NULL,27
"JPSREGANT_DD_E1","",151
"JPSREGANT_DD_E2",NULL,95
"JPSREGANT_SD_E","",150
"JPSREGANT_SD_E1",NULL,94
"JPSREGANT_SD_E2",NULL,103
"LEIAR10",NULL,24
"LEIAR20",NULL,114
"LEIAR25",NULL,72
"LEIAR25.R3",NULL,73
"LEIAR25.R4",NULL,40
"LEIAS10",NULL,32
"LEIAS11",NULL,169
"LEIAT302-GP",NULL,46
"LEIAT303",NULL,47
"LEIAT502",NULL,17
"LEIAT503",NULL,133
"LEIAT504",NULL,12
"LEIAT504GG",NULL,21
"LEIATX1230+GNSS",NULL,53
"LEIATX900GG",NULL,138
"LEIAX1202",NULL,18
"LEIAX1202GG",NULL,64
"LEIAX1203+GNSS",NULL,29
"LEISR299_INT",NULL,56
"MAC4647942",NULL,86
"MP-1372FW+REGP",NULL,102
"MPLL1/L2_SURV",NULL,101
"MPL_WAAS_2224NW",NULL,120
"MPL_WAAS_2225NW",NULL,122
"MPREGP MP-1372W",NULL,106
"NAV_ANT3001BR",NULL,131
"NAX3G+C",NULL,59
"NOV503+CR",NULL,99
"NOV533+CR",NULL,132
"NOV600",NULL,66
"NOV702",NULL,19
"NOV702_2.02",NULL,65
"NOV702_3.00",NULL,33
"NOV702GG",NULL,30
"NOV703GGG.R2",NULL,139
"NOV750.R4",NULL,23
"NOV_WAAS_600",NULL,121
"RM22020.00+GP   N",NULL,130
"SEN67157596+CR",NULL,116
"SEPCHOKE_B3E6",NULL,81
"SEPCHOKE_MC",NULL,107
"SEPPOLANT_X_MF",NULL,142
"SOK600",NULL,70
"SPP571212238+GP",NULL,96
"SPP571908273",NULL,48
"SPP571908273+CR",NULL,147
"STHCR3-G3",NULL,162
"STXSA1500",NULL,158
"TI4100_100",NULL,84
"TI4100_4000",NULL,119
"TOP700779A",NULL,50
"TPSCR3_GGD",NULL,25
"TPSCR4",NULL,98
"TPSCR.G3",NULL,75
"TPSCR.G5",NULL,92
"TPSCR.G5C",NULL,157
"TPSG3_A1",NULL,71
"TPSG5_A1",NULL,170
"TPSGR5",NULL,67
"TPSLEGANT2",NULL,43
"TPSPG_A1",NULL,57
"TPSPG_A1+GP",NULL,54
"TRM115000.00",NULL,140
"TRM115000.10",NULL,143
"TRM12562.00+SGP",NULL,108
"TRM14177.00","Trimble 4000ST L1 Geodetic",165
"TRM14532.00",NULL,14
"TRM14532.10",NULL,113
"TRM159800.00",NULL,144
"TRM159900.00",NULL,148
"TRM22020.00+GP",NULL,9
"TRM22020.00-GP",NULL,85
"TRM2202000+GP",NULL,134
"TRM22020.0+GP",NULL,129
"TRM22.11.00+GP",NULL,128
"TRM23903.00",NULL,88
"TRM29659.00",NULL,3
"TRM33429.00+GP",NULL,52
"TRM33429.00-GP",NULL,100
"TRM33429.20+GP",NULL,61
"TRM39105.00",NULL,13
"TRM41249.00",NULL,7
"TRM41249USCG",NULL,111
"TRM4800",NULL,42
"TRM55970.00",NULL,37
"TRM55971.00",NULL,22
"TRM57970.00",NULL,34
"TRM57971.00",NULL,20
"TRM59791.00",NULL,63
"TRM59800.00",NULL,58
"TRM59800.80",NULL,77
"TRM59800.99",NULL,145
"TRM59900.00",NULL,90
"TRMR10",NULL,154
"TRMR4-2",NULL,155
"TRMR8_GNSS",NULL,28
"TWIVC6050",NULL,153
"TWIVC6150",NULL,149
"TWIVP6000",NULL,137
"TWIVP6050",NULL,163
"TWIVP6050_CONE",NULL,164
"Unknown",NULL,127
"UNKNOWN",NULL,126
"Unknown antenna",NULL,69
