"AntennaCode","HeightCode","v_offset","h_offset","api_id"
"","DHARP","0.0000","0.0000",306
"--------------","DHARP","0.0000","0.0000",250
"---------------","DHARP","0.0000","0.0000",259
"---------------","DHPAB","0.0000","0.0000",307
"3S-02-TSADM","DHARP","0.0000","0.0000",207
"AERAT1675_120","DHARP","0.0000","0.0000",283
"AERAT2775_42","DHARP","0.0000","0.0000",268
"AERAT2775_43","DHARP","0.0000","0.0000",165
"AERAT2775_43","DHPAB","0.000","0.000",129
"AOAD/M_B","DHARP","0.0000","0.0000",251
"AOAD/M_B","DHBCR","0.0000","0.0000",13
"AOAD/M_B","DHPAB","-0.011","0.0000",111
"AOAD/M_T","DHARP","0.0000","0.0000",263
"AOAD/M_T","DHBCR","0.0350","0.0000",114
"AOAD/M_T","DHPAB","0.0000","0.0000",75
"AOAD_M/T","DHARP","0.0000","0.0000",224
"AOAD/M_TA_NGS","DHARP","0.0000","0.0000",294
"AOAD/M_TA_NGS","DHPAB","-0.0110","0.0000",50
"ARFAS13DFS","DHARP","0.0000","0.0000",172
"ARFAS13DFS","DHBCR","0.0000","0.0000",135
"ASH111661","DHARP","0.0000","0.0000",154
"ASH700228A","DHARP","0.0000","0.0000",302
"ASH700228A","DHPAB","0.0000","0.0000",26
"ASH700228B","DHARP","0.0000","0.0000",167
"ASH700228B","DHPAB","0.0000","0.0000",85
"ASH700228C","DHARP","0.0000","0.0000",273
"ASH700228C","DHPAB","0.0000","0.0000",86
"ASH700228D","DHARP","0.0000","0.0000",214
"ASH700228D","DHPAB","0.0000","0.0000",81
"ASH700228D","DHTGP","0.0640","0.0000",18
"ASH700700.B","DHARP","0.0000","0.0000",256
"ASH700700.B","DHPAB","0.0000","0.0000",118
"ASH700700.C","DHARP","0.0000","0.0000",201
"ASH700700.C","SLBDN","0.0350","0.1090",6
"ASH700718A","DHARP","0.0000","0.0000",288
"ASH700718A","DHPAB","0.0000","0.0000",24
"ASH700718A","DHTGP","0.0650","0.0000",17
"ASH700718A","SLHGP","0.0650","0.1737",10
"ASH700718A","SLLGP","0.0650","0.184",124
"ASH700718B","DHARP","0.0000","0.0000",179
"ASH700718B","DHPAB","0.0000","0.0000",27
"ASH700718B","DHTGP","0.0650","0.0000",28
"ASH700829.3","DHARP","0.0000","0.0000",265
"ASH700829.3","DHPAB","0.0000","0.0000",55
"ASH700936A_M","DHARP","0.0000","0.0000",198
"ASH700936A_M","DHPAB","0.0000","0.0000",32
"ASH700936A_M","SLBCR","0.0000","0.0000",308
"ASH700936B_M","DHARP","0.0000","0.0000",199
"ASH700936B_M","DHPAB","0.0000","0.0000",44
"ASH700936C_M","DHARP","0.0000","0.0000",229
"ASH700936C_M","DHPAB","0.0000","0.0000",36
"ASH700936D_M","DHARP","0.0000","0.0000",145
"ASH700936D_M","DHBCR","0.0348","0.0000",76
"ASH700936D_M","DHPAB","0.0000","0.0000",14
"ASH700936D_M","SLBCR","0.0348","0.1897",5
"ASH700936E","DHARP","0.0000","0.0000",281
"ASH700936E","DHPAB","0.0000","0.0000",63
"ASH700936E_C","DHARP","0.0000","0.0000",282
"ASH700936E_C","DHBCR","0.0348","0.0000",115
"ASH700936E_C","DHPAB","0.0000","0.0000",84
"ASH700936F_C","DHARP","0.0000","0.0000",254
"ASH700936F_C","DHPAB","0.0000","0.0000",110
"ASH701008.01B","DHPAB","0.0000","0.0000",318
"ASH701073.1","DHARP","0.0000","0.0000",241
"ASH701073.1","DHPAB","0.0000","0.0000",54
"ASH701073.3","DHARP","0.0000","0.0000",204
"ASH701073.3","DHPAB","0.0000","0.0000",103
"ASH701933A_M","DHARP","0.0000","0.0000",301
"ASH701933A_M","DHPAB","0.0000","0.0000",317
"ASH701933B_M","DHARP","0.0000","0.0000",150
"ASH701933B_M","DHPAB","0.0000","0.0000",49
"ASH701933C_M","DHARP","0.0000","0.0000",240
"ASH701933C_M","DHPAB","0.0000","0.0000",69
"ASH701941.1","DHARP","0.0000","0.0000",297
"ASH701941.1","DHPAB","0.0000","0.0000",104
"ASH701941.B","DHARP","0.0000","0.0000",220
"ASH701941.B","DHPAB","0.0000","0.0000",68
"ASH701945.02B","DHARP","0.0000","0.0000",223
"ASH701945B.99","DHPAB","0.0000","0.0000",321
"ASH701945B_M","DHARP","0.0000","0.0000",255
"ASH701945B_M","DHPAB","0.0000","0.0000",23
"ASH701945C_M","DHARP","0.0000","0.0000",180
"ASH701945C_M","DHPAB","0.0000","0.0000",15
"ASH701945D_M","DHARP","0.0000","0.0000",271
"ASH701945D_M","DHPAB","0.0000","0.0000",47
"ASH701945E_M","DHARP","0.0000","0.0000",148
"ASH701945E_M","DHPAB","0.0000","0.0000",16
"ASH701945G_M","DHARP","0.0000","0.0000",248
"ASH701945G_M","DHPAB","0.0000","0.0000",46
"ASH701946.2","DHARP","0.0000","0.0000",252
"ASH701946.2","DHPAB","0.0000","0.0000",109
"ASH701946.3","DHARP","0.0000","0.0000",219
"ASH701946.3","DHPAB","0.0000","0.0000",102
"ASH701975.01A","DHARP","0.0000","0.0000",143
"ASH701975.01A","DHPAB","0.0000","0.0000",51
"CHAPS9017","DHARP","0.0000","0.0000",276
"CHAPS9017","DHPAB","0.0000","0.000",138
"CHCC220GR","DHARP","0.0000","0.0000",274
"CHCC220GR","DHPAB","0.0000","0.0000",136
"CHCC220GR2","DHARP","0","0",315
"JAV_GRANT-G3T","DHARP","0.0000","0.0000",277
"JAVRINGANT_DM","DHARP","0.0000","0.0000",304
"JAVRINGANT_DM","DHPAB","0.0000","0.0000",57
"JAVRINGANT_DM","SLBCR","0.0345","0.1900",58
"JAV_RINGANT_G3T","DHARP","0.0000","0.0000",152
"JAV_RINGANT_G3T","DHPAB","0.0000","0.0000",97
"JAV_RINGANT_G5T","DHARP","0.0000","0.0000",221
"JAV_RINGANT_G5T","DHPAB","0.0000","0.0000",99
"JAVRINGANT_G5T","DHARP","0.0000","0.0000",185
"JAVRINGANT_G5T","DHPAB","0.0000","0.0000",98
"JNSCR_C146-22-1","DHARP","0.0000","0.0000",245
"JNSCR_C146-22-1","DHPAB","0.0000","0.0000",96
"JNSMARANT_GGD","DHARP","0.0000","0.0000",261
"JNSMARANT_GGD","DHPAB","0.0000","0.0000",108
"JPLD/M_R","DHARP","0.0000","0.0000",169
"JPLD/M_R","DHBCR","0.0000","0.0000",42
"JPLD/M_R","DHPAB","0.0000","0.0000",107
"JPLD/M_RA_SOP","DHARP","0.0000","0.0000",262
"JPLD/M_RA_SOP","DHBCR","0.0000","0.0000",117
"JPSLEGANT_E","DHARP","0.0000","0.0000",202
"JPSLEGANT_E","DHPAB","0.0000","0.0000",122
"JPSREGANT_DD_E","DHARP","0.0000","0.0000",253
"JPSREGANT_DD_E","DHPAB","0.0000","0.0000",67
"JPSREGANT_DD_E1","DHARP","0.0000","0.0000",238
"JPSREGANT_DD_E1","DHPAB","0.0000","0.0000",130
"JPSREGANT_DD_E2","DHARP","0.0000","0.0000",178
"JPSREGANT_DD_E2","DHPAB","0.0000","0.0000",66
"JPSREGANT_SD_E","DHARP","0.0000","0.0000",230
"JPSREGANT_SD_E1","DHARP","0.0000","0.0000",243
"JPSREGANT_SD_E1","DHPAB","0.0000","0.0000",62
"JPSREGANT_SD_E2","DHARP","0.0000","0.0000",235
"LEIAR10","DHARP","0.0000","0.0000",147
"LEIAR10","DHPAB","0.0000","0.0000",72
"LEIAR20","DHARP","0.0000","0.0000",279
"LEIAR20","DHPAB","0.0000","0.0000",79
"LEIAR25","DHARP","0.0000","0.0000",285
"LEIAR25","DHPAB","0.0000","0.0000",60
"LEIAR25.R3","DHARP","0.0000","0.0000",275
"LEIAR25.R3","DHPAB","0.0000","0.0000",43
"LEIAR25.R4","DHARP","0.0000","0.0000",162
"LEIAR25.R4","DHPAB","0.0000","0.0000",59
"LEIAS10","DHARP","0.0000","0.0000",212
"LEIAS10","DHPAB","0.0000","0.0000",95
"LEIAT302-GP","DHARP","0.0000","0.0000",170
"LEIAT302-GP","DHPAB","0.0000","0.0000",128
"LEIAT303","DHARP","0.0000","0.0000",197
"LEIAT303","DHBCR","0.0000","0.0000",41
"LEIAT303","DHPAB","0.0000","0.0000",83
"LEIAT502","DHARP","0.0000","0.0000",209
"LEIAT503","DHARP","0.0000","0.0000",184
"LEIAT503","DHPAB","0.0000","0.0000",142
"LEIAT504","DHARP","0.0000","0.0000",164
"LEIAT504","DHBCR","0.0378","0.0000",116
"LEIAT504","DHPAB","0.0000","0.0000",21
"LEIAT504GG","DHARP","0.0000","0.0000",193
"LEIAT504GG","DHPAB","0.0000","0.0000",56
"LEIATX1230+GNSS","DHARP","0.0000","0.0000",227
"LEIATX900GG","DHARP","0.0000","0.0000",168
"LEIAX1202","DHARP","0.0000","0.0000",157
