"ReceiverCode","ReceiverDescription","api_id"
"",NULL,134
"--------------------",NULL,80
"ALERTGEO RESOLUTE","",153
"AOA BENCHMARK ACT",NULL,82
"AOA ICS-4000Z",NULL,94
"AOA ICS-4000Z ACT",NULL,96
"AOA SNR-12 ACT",NULL,78
"AOA SNR-8000 ACT",NULL,81
"AOA SNR-8100 ACT",NULL,98
"ASHTECH GG24C",NULL,124
"ASHTECH LM-XII3",NULL,104
"ASHTECH MICROZ",NULL,42
"ASHTECH M-XII",NULL,105
"ASHTECH PF500",NULL,136
"ASHTECH PF800",NULL,61
"ASHTECH P-XII3",NULL,91
"ASHTECH UZ-12",NULL,7
"ASHTECH Z18",NULL,112
"ASHTECH Z-X",NULL,41
"ASHTECH Z-XII",NULL,56
"ASHTECH Z-XII3",NULL,1
"ASHTECH Z-XII3       -",NULL,8
"ASHTECH Z-XII3      --",NULL,54
"ASHTECH Z-XII3       1",NULL,17
"ASHTECH Z-XII3      1G",NULL,55
"ASHTECH Z-XII3T",NULL,79
"CHAMPION QB1",NULL,173
"CHC N71",NULL,180
"CHC P2",NULL,174
"CHC P5E","P5E, 336 channels",177
"CMC ALLSTAR OEM",NULL,111
"GRX1200GGPRO",NULL,131
"GRX1200+GNSS",NULL,130
"ITT 3750300",NULL,126
"JAVAD TRE_3",NULL,151
"JAVAD TRE_3 DELTA",NULL,101
"JAVAD TRE_3N DELTA",NULL,158
"JAVAD TRE_3S",NULL,169
"JAVAD TRE_3S DELTA",NULL,170
"JAVAD TRE_3S SIGMA",NULL,171
"JAVAD TRE_G2T DELTA",NULL,119
"JAVAD TRE_G2TH SIGMA",NULL,125
"JAVAD TRE_G3T DELTA",NULL,38
"JAVAD TRE_G3TH DELTA",NULL,87
"JAVAD TRE_G3TH SIGMA",NULL,73
"JAVAD TRE_G3T SIGMA",NULL,129
"JAVAD TRE_GTH SIGMA",NULL,150
"JAVAD TR_G2T",NULL,166
"JAVAD TR_G2TH",NULL,165
"JAVAD TR_G3T",NULL,167
"JAVAD TR_G3TH",NULL,70
